78,哈利·波特与魔法石,361397,8.8
77,沉默的羔羊,426116,8.8
76,剪刀手爱德华,589157,8.7
75,大闹天宫,140566,9.3
74,勇敢的心,346984,8.8
73,低俗小说,417890,8.8
72,音乐之声,285446,8.9
71,天使爱美丽,578777,8.7
70,看不见的客人,484285,8.7
69,拯救大兵瑞恩,306378,8.9
68,让子弹飞,793102,8.7
67,黑客帝国,358331,8.9
66,西西里的美丽传说,453118,8.8
65,致命魔术,426003,8.8
64,本杰明·巴顿奇事,485819,8.8
63,被嫌弃的松子的一生,375930,8.9
62,七宗罪,520877,8.8
61,小鞋子,181058,9.2
60,美国往事,214833,9.1
59,末代皇帝,254381,9.1
58,钢琴家,249616,9.1
57,狮子王,359688,8.9
56,素媛,248527,9.1
55,情书,468256,8.8
54,饮食男女,262044,9.1
53,美丽心灵,378276,8.9
52,指环王1：魔戒再现,381124,8.9
51,指环王2：双塔奇兵,340419,9.0
50,教父2,241830,9.1
49,海豚湾,218029,9.3
48,V字仇杀队,537402,8.8
47,死亡诗社,354833,9.0
46,飞越疯人院,331446,9.0
45,两杆大烟枪,327118,9.1
44,闻香识女人,414231,9.0
43,辩护人,286880,9.2
42,哈尔的移动城堡,459421,8.9
41,窃听风暴,289152,9.1
40,摔跤吧！爸爸,660154,9.1
39,罗马假日,487693,9.0
38,大话西游之月光宝盒,543262,8.9
37,飞屋环游记,644721,8.9
36,搏击俱乐部,477783,9.0
35,天空之城,422995,9.0
34,控方证人,148655,9.6
33,指环王3：王者无敌,362884,9.1
32,鬼子来了,303129,9.2
31,十二怒汉,217823,9.4
30,少年派的奇幻漂流,730377,9.0
29,天堂电影院,370751,9.1
28,活着,366731,9.2
27,蝙蝠侠：黑暗骑士,444285,9.1
26,乱世佳人,338447,9.2
25,疯狂动物城,735563,9.2
24,怦然心动,770762,9.0
23,触不可及,474211,9.2
22,当幸福来敲门,714260,9.0
21,无间道,553221,9.1
20,熔炉,380935,9.3
19,龙猫,570622,9.1
18,教父,447132,9.2
17,星际穿越,668220,9.2
16,楚门的世界,654159,9.2
15,大话西游之大圣娶亲,674333,9.2
14,放牛班的春天,608114,9.2
13,海上钢琴师,736283,9.2
12,三傻大闹宝莱坞,883295,9.2
11,忠犬八公的故事,640754,9.3
10,机器人总动员,654536,9.3
9,盗梦空间,986555,9.3
8,辛德勒的名单,509836,9.5
7,千与千寻,900214,9.3
6,泰坦尼克号,907090,9.3
5,美丽人生,567583,9.5
4,阿甘正传,971387,9.4
3,这个杀手不太冷,1132860,9.4
2,霸王别姬,907117,9.6
1,肖申克的救赎,1232102,9.6
